eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
- beirut editorial ( 961 1 ) 864148 353078 861723|||O B-LOC O O O O O O O O
zenith lands $ 1 billion contract , plans $ 100 million plant .|||B-ORG O O O O O O O O O O O O
susan nadeau|||B-PER I-PER
chicago 1996-08-22|||B-LOC O
a consortium of telephone companies and the walt disney co .|||O O O O O O B-ORG I-ORG I-ORG I-ORG O
said thursday it had signed a $ 1 billion contract with zenith to make digital televison set-top boxes for its home entertainment service .|||O O O O O O O O O O O B-ORG O O O O O O O O O O O O
the announcement of the contract for 3 million set-top boxes gave new hope to zenith , which has struggled with years of losses .|||O O O O O O O O O O O O O O B-ORG O O O O O O O O O
" this really indicates we 're back in the business , " william luehrs , president of the glenview , ill.-based company 's networks services division , said in a telephone interview . "|||O O O O O O O O O O O O B-PER I-PER O O O O B-LOC O B-MISC O O B-ORG I-ORG I-ORG O O O O O O O O
anytime somebody gets the opportunity to enter the next era with such a big bang has got to be seen as a strong message to the industry . "|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
following the announcement , zenith 's stock soared $ 5.50 to $ 16.875 on the new york stock exchange .|||O O O O B-ORG O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O
the consortium , called americast , said the contract was part of its strategy to develop and market the next generation in home entertainment .|||O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
in addition to disney , americast 's partners are phone companies ameritech corp. , bellsouth corp. , gte corp. and sbc communications .|||O O O B-ORG O B-ORG O O O O O B-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG O
americast said southern new england telecommunications corp. has signed a letter of intent to join the group , which plans to provide a home entertainment service similar to cable television .|||B-ORG O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O
zenith also said it planned to build a new $ 100 million plant in woodridge , ill .|||B-ORG O O O O O O O O O O O O O B-LOC O B-LOC O
, to make picture tubes for 32- and 35-inch screen tv sets .|||O O O O O O O O O O O O O
the company currently buys the tubes from competitors .|||O O O O O O O O O
the new plant , which is dependent on obtaining financing , will create about 280 new jobs , zenith said .|||O O O O O O O O O O O O O O O O O O B-ORG O O
the contract calls for production of the set-top boxes over five years .|||O O O O O O O O O O O O O
luehrs said manufacturing will begin and revenue will start to roll in during the first half of next year .|||B-PER O O O O O O O O O O O O O O O O O O O
the boxes will be made on a build-to-order basis .|||O O O O O O O O O O
zenith will convert its chihuahua , mexico , analogue set-top box plant to manufacture the digital boxes .|||B-ORG O O O B-LOC O B-LOC O O O O O O O O O O O
luehrs declined to say when the operation was expected to be profitable .|||B-PER O O O O O O O O O O O O
americast will provide the boxes to subscribers as part of the service .|||B-ORG O O O O O O O O O O O O
its service is being introduced in selected markets across the united states .|||O O O O O O O O O O B-LOC I-LOC O
luehrs said digital technology in set-top boxes is only the beginning and said the technology will eventually show up in retail consumer electronics .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O
" we 'll build a lot of these devices into television sets , for digital television , " he said . "|||O O O O O O O O O O O O O O O O O O O O O O
although that is not where this particular contract is headed , the fact that there is a strong zenith presence will pay us dividends in the future . "|||O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O
zenith has been plagued by generally soft conditions in the colour television industry , reporting full-year losses since 1989 .|||B-ORG O O O O O O O O O O O O O O O O O O O
last month , it reported a second-quarter loss of $ 33.2 million , or 51 cents a share , vs. a loss of $ 45.3 million , or 97 cents a share , a year earlier .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
last november , south korea-based lg electronics inc. bought a majority stake in zenith .|||O O O B-MISC I-MISC B-ORG I-ORG I-ORG O O O O O B-ORG O
robert gutenstein , an analyst for kalf , voorhis & co .|||B-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
, said the contract was " not unique , but it 's big . "|||O O O O O O O O O O O O O O O
" digital is coming , it 's economic and the question is what will make the consumer happy and at what price . "|||O O O O O O O O O O O O O O O O O O O O O O O O
natural law party says it can meditate problems away .|||B-ORG I-ORG I-ORG O O O O O O O
washington 1996-08-22|||B-LOC O
from the people who brought you hundreds of " yogic fliers " who claimed to defy nature by levitating comes the natural law party , a minor political party that nominated a presidential candidate on thursday .|||O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O
at a hotel convention here , the party associated with the transcendental meditation ( tm ) movement named physicist john hagelin as its presidential nominee for the nov. 5 election .|||O O O O O O O O O O O B-MISC I-MISC O B-MISC O O O O B-PER I-PER O O O O O O O O O O
the party is running on a platform claiming it can ward off problems before they occur through techniques such as mass meditation that would reduce stress , crime , terrorism and even wars .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" social stress can be reduced and problems such as crime and violence will automatically decrease , " said a party paper .|||O O O O O O O O O O O O O O O O O O O O O O O
many party members are practitioners of tm , which involves meditating to a repeated word or phrase , called a mantra .|||O O O O O O B-MISC O O O O O O O O O O O O O O O
some advanced tm followers contend they can actually mediate to such a point that they fly .|||O O B-MISC O O O O O O O O O O O O O O
but in a demonstration of " yogic flying " several years ago , critics said the people were merely bouncing off the ground from a sitting position .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O
huge windows 95 sales fail to meet expectations .|||O B-MISC I-MISC O O O O O O
martin wolk|||B-PER I-PER
seattle 1996-08-22|||B-LOC O
a year after its massively publicized introduction , microsoft corp. 's windows 95 computer operating system has fallen short of the most optimistic expectations for the software giant and the industry .|||O O O O O O O O B-ORG I-ORG O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O
even though more than 40 million copies of windows 95 have been sold , making it the fastest-selling new software ever , it would have been impossible for any product to live up to the unprecedented hype of the aug. 24 , 1995 launch , when stores around the world opened at midnight to greet long lines of customers .|||O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the redmond , wash.-based company spent tens of millions of dollars promoting the product with stunts that included buying the entire print run of the times of london and lighting new york 's empire state building in a windows color scheme .|||O B-PER O B-MISC O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-LOC I-LOC O B-LOC I-LOC O O O B-MISC O O O
but the product , delivered eight months late , has fallen short of its sales potential in part because microsoft delivered a mixed message to business customers , analysts said .|||O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O
" it did n't do as well as it could have , " said rob enderle , an analyst with giga information group .|||O O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG I-ORG O
scores of software and hardware companies that had hoped for a big boost in sales were disappointed when only a brief spike materialized .|||O O O O O O O O O O O O O O O O O O O O O O O O
" people who were expecting major coat-tails were somewhat disappointed , " said scott winkler , an analyst with gartner group .|||O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG O
" it 's not as though it has n't had an impact , " he said . "|||O O O O O O O O O O O O O O O O O O
it just has n't had the huge earth-shattering impact some people were looking for . "|||O O O O O O O O O O O O O O O O
symantec corp. , which had been among the most bullish of software companies at the time of the windows 95 launch , ended up posting disappointing financial results when retail sales of the operating system fell short of its projections .|||B-ORG I-ORG O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O
touchstone software corp. had to pay $ 1.3 million in cash and stock to settle a shareholders lawsuit brought after the company 's sales failed to meet expectations tied to the windows 95 launch .|||B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O
many software developers apparently saw their crucial holiday season sales suffer last year because store shelves were jammed with blue-and-white boxes of windows 95 , resulting in a shortage of space for seasonal products , said ann stephens , president of pc data inc .|||O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O B-PER I-PER O O O B-ORG I-ORG I-ORG O
to be sure , sales of windows 95 and the accompanying office 95 upgrade drove microsoft sales up 46 percent last year to a record $ 8.67 billion and cemented the company 's status as the industry 's dominant company .|||O O O O O O B-MISC I-MISC O O O B-MISC I-MISC O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
microsoft executives say they are thrilled with the sales figures , and industry analysts estimate that by sometime next year , the installed base of windows 95 will surpass that of the older version of windows , now used on about 100 million computers worldwide .|||B-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O B-MISC O O O O O O O O O O
but enderle said the figure could have been even higher if microsoft had done a better job of handling the huge demand for technical support from customers who were frustrated trying to install the system .|||O B-PER O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
he and other analysts said corporate america adopted a go-slow approach because microsoft already was promoting the new version of its high-end windows nt operating system , expected to be available in stores in the next several weeks .|||O O O O O O B-LOC O O O O O B-ORG O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O
" microsoft sent a lot of signals that nt was going to be the answer , " winkler said . "|||O B-ORG O O O O O O B-MISC O O O O O O O O B-PER O O O
many people began to believe that windows 95 was being downplayed . "|||O O O O O O B-MISC I-MISC O O O O O
but now that windows nt 4.0 has been launched , winkler and others believe only a relatively small proportion of corporate users will elect to pay the added software and hardware costs needed to use it instead of windows 95 .|||O O O B-MISC I-MISC I-MISC O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O
" windows 95 is going to do great , " he said . "|||O B-MISC I-MISC O O O O O O O O O O O
the mistake people made was in thinking it was going to be a fast , sweeping change rather than a slow , building change . "|||O O O O O O O O O O O O O O O O O O O O O O O O O O
